,0
0,Andrés Eliceche
1,
2,Franco Tossi
3,Claudio Mauri
4,Javier Blanco
5,Sofía Diamante
6,Silvia Stang
7,Alberto Armendáriz
8,Silvia Pisani
9,Julia Montesoro
10,Rafael Mathus Ruiz
11,Gabriela Origlia 
12,Fabiola Czubaj
13,Daniela Chueke Perles
14,Nora Bär
15,Juan Patricio Balbi Vignolo
16,Sebastián Torok
17,Fernando Vergara
18,Paula Urien
19,Elisabetta Piqué
20,Natalia Trzenko
21,Hernán Cappiello
22,Darío Palavecino
23,Víctor Pombinho Soares
24,Pablo Mannino
25,"

"
26,Alejandro Casar González
27,María Julieta Rumi
28,Andrés Krom
29,Marcelo Stiletano
30,Cecilia Martínez
31,Laura Chertkoff
32,Santiago Dapelo
33,Iván Ruiz
34,Gabriel Di Nicola
35,Pablo Ricardi
36,Julia D'Arrisso
37,Francisco Jueguen
38,Mariana Reinke
39,Charlotte Graham-McLay
40,Joaquín Vismara
41,Virginia Chacon Dorr
42,Rocío García
43,Silvina Ajmat
44,Leonardo Scannone
45,Román Iucht
46,Agustín Monguillot
47,Pablo Montagna
48,Mariano Obarrio
49,Nicolás Rotnitzky
50,Patricio Insua
51,José María Costa
52,Hugo Alconada Mon
53,Nicolás Balinotti
54,Juan Carlos de Pablo
55,Stephen Kalin
56,Paula Vázquez Prieto
57,Sebastián Chaves
58,Carlos Pacheco
59,Javier Fuego Simondet
60,Fernando J. de Aróstegui
61,Hernán Ferreirós
62,Paz Rodríguez Niell
63,Sofía Terrile
64,María Ayzaguer
65,Martín Artigas
66,Laura Serra
67,Federico Acosta Rainis
68,Nicolás Cassese
69,Germán Leza
70,Santiago Bulat
71,Carlos Manzoni
72,Diego Batlle
73,Natalia Laube
74,Gustavo Carabajal
75,Carlos Delfino
76,Sol Amaya
77,Xavier Prieto Astigarraga
78,Sebastián Fest
79,Jorge Búsico
80,Matías Baldo
81,Diego Mancusi
82,Daniel Gallo
83,Daniel Lozano
84,Jaime Rosemberg
85,Silvina Premat
86,Germán de los Santos
87,Alfredo Sainz
88,Gastón Saiz
89,Leandro Vesco
90,Sofía Orsay
91,Gabriel Sued
92,Mauricio Giambartolomei
93,Pablo Fernández Blanco
94,Sebastián Ramos
95,Marcelo Veneranda
96,Romina Colman
97,Pilar Tapia
98,Mariana Israel
99,Silvina Marino
100,Fernanda Iglesias
101,María José Lucesole
102,Ana Tronfi
103,Paloma Suárez Echeverría
104,Luis Eduardo Meglioli
105,Nelson Fernández
106,Martín Fernández Cruz
107,Gabriel Plaza
108,Claudio Jacquelin
109,Rodolfo Chisleanschi
110,Gonzalo Capozzolo
111,Diego Morini
112,José Del Rio
113,Agustín Reynal
114,Bassem Mroue 
115,Tomás Balmaceda
116,María Fernanda Mugica
117,Claudia Guzmán
118,Luisa Corradini
119,Diego Cabot
120,Alan Soria Guadalupe
121,Gustavo S. González
122,Daniel Santa Cruz 
123,David Kirkpatrick
124,Maia Jastreblansky
125,Rosario Marina
126,Claudio Cerviño
127,Ignacio Federico
128,Alejandro Lingenti
129,Brenda Struminger
130,Jesica Rizzo
131,Yamila Trautman
132,María Pettinelli
133,Ariel Ruya
134,Pablo Casazza
135,Ariel Barraud
136,Mariela Arias
137,Ricardo Salton
138,José E. Bordón
139,Damián Di Pace
140,Tamara Talesnik
141,Dolores Graña
142,Rubén Guillemí
143,Vanesa Listek
144,Pablo Lisotto
145,Esteban Lafuente
146,Sebastián Espósito
147,Irene Crespo
