,0
0,
1,Martín Luciano Insaurralde
2,Luis Beldi
3,Román Lejtman
4,Fernando Morales
5,Silvia Mercado
6,Fernando Soriano
7,Gustavo Yarroch
8,Francisco Bueno
9,Ernesto Tenembaum
10,Luis Novaresio
11,Omar Lavieri
12,Gustavo López
13,Martín Angulo
14,Pablo Wende
15,Loreley Gaffoglio
16,Gastón Calvo
17,Juan Gasalla
18,Ximena Casas
19,Eduardo Aulicino
20,Mauricio Luna
21,Cherquis Bialo
22,Laura Rocha
23,Pablo Riggio
24,Milagros Monti
25,Gustavo Segré
26,Daniel Sticco
27,Federico Mayol
28,Pilar Safatle
29,Mariel Fitz Patrick
30,Carlos Arbia
31,Juan Piscetta
32,Fernanda Kobelinsky
33,Milton Del Moral
34,Leonardo Mindez
35,Fernanda Jara
36,Nieves Otero
37,Darío Mizrahi
38,Claudia Peiró
39,Martín Dinatale
40,Gisele Sousa Dias
41,Tatiana Schapiro
42,Matías Bauso
43,Mariano Thieberger
44,Agustina Larrea
45,Mariana Dahbar
46,Daniela Lichinizer
47,Patricia Blanco
48,Gerardo González
49,Gaby Cociffi
50,George Chaya
51,Roberto Bosca
52,Camila Hadad
53,Gastón Sanguinetti
54,Gisela Marziotta
55,Fernando Taveira
56,Sebastián Catalano
57,Alejo Santander
58,Leonardo Tagliabúe
59,Ernesto Mattos
