,autor,nombre,genero
0,Andrés Eliceche,Andrés,male
1,,,
2,Franco Tossi,Franco,male
3,Claudio Mauri,Claudio,male
4,Javier Blanco,Javier,male
5,Sofía Diamante,Sofía,female
6,Silvia Stang,Silvia,female
7,Alberto Armendáriz,Alberto,male
8,Silvia Pisani,Silvia,female
9,Julia Montesoro,Julia,female
10,Rafael Mathus Ruiz,Rafael,male
11,Gabriela Origlia ,Gabriela,female
12,Fabiola Czubaj,Fabiola,female
13,Daniela Chueke Perles,Daniela,female
14,Nora Bär,Nora,female
15,Juan Patricio Balbi Vignolo,Juan,male
16,Sebastián Torok,Sebastián,male
17,Fernando Vergara,Fernando,male
18,Paula Urien,Paula,female
19,Elisabetta Piqué,Elisabetta,female
20,Natalia Trzenko,Natalia,female
21,Hernán Cappiello,Hernán,male
22,Darío Palavecino,Darío,male
23,Víctor Pombinho Soares,Víctor,male
24,Pablo Mannino,Pablo,male
25,"









",,
26,Alejandro Casar González,Alejandro,male
27,María Julieta Rumi,María,female
28,Andrés Krom,Andrés,male
29,Marcelo Stiletano,Marcelo,male
30,Cecilia Martínez,Cecilia,female
31,Laura Chertkoff,Laura,female
32,Santiago Dapelo,Santiago,male
33,Iván Ruiz,Iván,male
34,Gabriel Di Nicola,Gabriel,male
35,Pablo Ricardi,Pablo,male
36,Julia D'Arrisso,Julia,female
37,Francisco Jueguen,Francisco,male
38,Mariana Reinke,Mariana,female
39,Charlotte Graham-McLay,Charlotte,female
40,Joaquín Vismara,Joaquín,male
41,Virginia Chacon Dorr,Virginia,female
42,Rocío García,Rocío,female
43,Silvina Ajmat,Silvina,female
44,Leonardo Scannone,Leonardo,male
45,Román Iucht,Román,male
46,Agustín Monguillot,Agustín,male
47,Pablo Montagna,Pablo,male
48,Mariano Obarrio,Mariano,male
49,Nicolás Rotnitzky,Nicolás,male
50,Patricio Insua,Patricio,male
51,José María Costa,José,male
52,Hugo Alconada Mon,Hugo,male
53,Nicolás Balinotti,Nicolás,
54,Juan Carlos de Pablo,Juan,male
55,Stephen Kalin,Stephen,male
56,Paula Vázquez Prieto,Paula,female
57,Sebastián Chaves,Sebastián,
58,Carlos Pacheco,Carlos,male
59,Javier Fuego Simondet,Javier,male
60,Fernando J. de Aróstegui,Fernando,male
61,Hernán Ferreirós,Hernán,male
62,Paz Rodríguez Niell,Paz,female
63,Sofía Terrile,Sofía,female
64,María Ayzaguer,María,female
65,Martín Artigas,Martín,male
66,Laura Serra,Laura,female
67,Federico Acosta Rainis,Federico,male
68,Nicolás Cassese,Nicolás,male
69,Germán Leza,Germán,male
70,Santiago Bulat,Santiago,male
71,Carlos Manzoni,Carlos,male
72,Diego Batlle,Diego,male
73,Natalia Laube,Natalia,female
74,Gustavo Carabajal,Gustavo,male
75,Carlos Delfino,Carlos,male
76,Sol Amaya,Sol,female
77,Xavier Prieto Astigarraga,Xavier,male
78,Sebastián Fest,Sebastián,male
79,Jorge Búsico,Jorge,male
80,Matías Baldo,Matías,male
81,Diego Mancusi,Diego,male
82,Daniel Gallo,Daniel,male
83,Daniel Lozano,Daniel,male
84,Jaime Rosemberg,Jaime,male
85,Silvina Premat,Silvina,female
86,Germán de los Santos,Germán,male
87,Alfredo Sainz,Alfredo,male
88,Gastón Saiz,Gastón,male
89,Leandro Vesco,Leandro,male
90,Sofía Orsay,Sofía,female
91,Gabriel Sued,Gabriel,male
92,Mauricio Giambartolomei,Mauricio,male
93,Pablo Fernández Blanco,Pablo,male
94,Sebastián Ramos,Sebastián,male
95,Marcelo Veneranda,Marcelo,male
96,Romina Colman,Romina,female
97,Pilar Tapia,Pilar,female
98,Mariana Israel,Mariana,female
99,Silvina Marino,Silvina,female
100,Fernanda Iglesias,Fernanda,female
101,María José Lucesole,María,female
102,Ana Tronfi,Ana,female
103,Paloma Suárez Echeverría,Paloma,female
104,Luis Eduardo Meglioli,Luis,male
105,Nelson Fernández,Nelson,male
106,Martín Fernández Cruz,Martín,male
107,Gabriel Plaza,Gabriel,male
108,Claudio Jacquelin,Claudio,male
109,Rodolfo Chisleanschi,Rodolfo,male
110,Gonzalo Capozzolo,Gonzalo,male
111,Diego Morini,Diego,male
112,José Del Rio,José,male
113,Agustín Reynal,Agustín,male
114,Bassem Mroue ,Bassem,male
115,Tomás Balmaceda,Tomás,male
116,María Fernanda Mugica,María,female
117,Claudia Guzmán,Claudia,female
118,Luisa Corradini,Luisa,female
119,Diego Cabot,Diego,male
120,Alan Soria Guadalupe,Alan,male
121,Gustavo S. González,Gustavo,male
122,Daniel Santa Cruz ,Daniel,male
123,David Kirkpatrick,David,male
124,Maia Jastreblansky,Maia,female
125,Rosario Marina,Rosario,female
126,Claudio Cerviño,Claudio,male
127,Ignacio Federico,Ignacio,male
128,Alejandro Lingenti,Alejandro,male
129,Brenda Struminger,Brenda,female
130,Jesica Rizzo,Jesica,female
131,Yamila Trautman,Yamila,female
132,María Pettinelli,María,female
133,Ariel Ruya,Ariel,male
134,Pablo Casazza,Pablo,male
135,Ariel Barraud,Ariel,male
136,Mariela Arias,Mariela,female
137,Ricardo Salton,Ricardo,male
138,José E. Bordón,José,male
139,Damián Di Pace,Damián,male
140,Tamara Talesnik,Tamara,female
141,Dolores Graña,Dolores,female
142,Rubén Guillemí,Rubén,male
143,Vanesa Listek,Vanesa,female
144,Pablo Lisotto,Pablo,male
145,Esteban Lafuente,Esteban,male
146,Sebastián Espósito,Sebastián,male
147,Irene Crespo,Irene,female
